Time (ms), mass (kg), Velocity (rad/s), Motor_current (A), Voltage (V)
Start Going Up
4509,4.00,0.00,0.21,13.25
4525,4.00,0.00,0.22,13.25
4536,4.00,0.00,0.24,13.25
4547,4.00,0.00,0.25,13.25
4556,4.00,0.00,0.25,13.25
4568,4.00,0.00,0.26,13.25
4577,4.00,0.00,0.27,13.25
4590,4.00,0.00,0.27,13.25
4599,4.00,0.00,0.28,13.24
4609,4.00,0.00,0.29,13.24
4618,4.00,0.00,0.30,13.24
4628,4.00,0.00,0.31,13.24
4639,4.00,0.00,0.32,13.24
4648,4.00,0.00,0.32,13.24
4657,4.00,0.00,0.32,13.25
4667,4.00,0.00,0.33,13.24
4677,4.00,20.00,0.33,13.24
4687,4.00,20.00,0.34,13.24
4697,4.00,20.00,0.34,13.24
4706,4.00,20.00,0.35,13.24
4716,4.00,20.00,0.35,13.24
4726,4.00,0.00,0.37,13.23
4736,4.00,0.00,0.37,13.23
4746,4.00,0.00,0.38,13.23
4756,4.00,0.00,0.40,13.23
4766,4.00,20.00,0.42,13.23
4776,4.00,20.00,0.42,13.23
4786,4.00,20.00,0.43,13.23
4798,4.00,20.00,0.43,13.23
4808,4.00,40.00,0.43,13.23
4818,4.00,20.00,0.45,13.22
4827,4.00,40.00,0.47,13.22
4837,4.00,40.00,0.50,13.22
4847,4.00,40.00,0.51,13.22
4857,4.00,20.00,0.52,13.21
4867,4.00,40.00,0.57,13.21
4878,4.00,20.00,0.59,13.21
4888,4.00,40.00,0.60,13.21
4898,4.00,40.00,0.61,13.21
4907,4.00,60.00,0.62,13.21
4917,4.00,40.00,0.63,13.21
4927,4.00,40.00,0.65,13.20
4937,4.00,20.00,0.68,13.20
4947,4.00,20.00,0.69,13.20
4957,4.00,0.00,0.70,13.20
4967,4.00,0.00,0.72,13.20
4976,4.00,0.00,0.73,13.19
4987,4.00,20.00,0.77,13.18
4997,4.00,20.00,0.80,13.18
5007,4.00,20.00,0.82,13.18
5019,4.00,20.00,0.86,13.17
5036,4.00,20.00,0.94,13.17
5046,4.00,40.00,0.94,13.17
5055,4.00,40.00,0.95,13.17
5065,4.00,40.00,0.95,13.17
5076,4.00,20.00,1.00,13.15
5086,4.00,20.00,1.04,13.15
5095,4.00,0.00,1.04,13.15
5105,4.00,0.00,1.07,13.14
5115,4.00,20.00,1.17,13.14
5126,4.00,40.00,1.20,13.14
5136,4.00,40.00,1.23,13.14
5146,4.00,40.00,1.23,13.14
5156,4.00,40.00,1.29,13.13
5165,4.00,20.00,1.29,13.13
5176,4.00,0.00,1.34,13.12
5187,4.00,0.00,1.38,13.12
5197,4.00,0.00,1.42,13.11
5210,4.00,0.00,1.44,13.11
5218,4.00,0.00,1.46,13.11
5228,4.00,0.00,1.51,13.10
5239,4.00,0.00,1.54,13.10
5249,4.00,20.00,1.56,13.10
5259,4.00,20.00,1.58,13.10
5268,4.00,20.00,1.64,13.08
5278,4.00,20.00,1.70,13.08
5288,4.00,20.00,1.73,13.08
5298,4.00,20.00,1.77,13.08
5308,4.00,20.00,1.82,13.08
5318,4.00,20.00,1.83,13.07
5328,4.00,40.00,1.91,13.05
5337,4.00,40.00,1.95,13.05
5347,4.00,20.00,1.99,13.04
5358,4.00,20.00,2.06,13.04
5368,4.00,20.00,2.09,13.04
5377,4.00,0.00,2.11,13.04
5388,4.00,0.00,2.13,13.04
5397,4.00,20.00,2.17,13.03
5408,4.00,20.00,2.22,13.01
5419,4.00,60.00,2.28,13.01
5429,4.00,60.00,2.33,13.01
5439,4.00,60.00,2.38,13.01
5448,4.00,40.00,2.41,13.00
5459,4.00,40.00,2.43,13.01
5468,4.00,20.00,2.45,13.01
5478,4.00,0.00,2.47,12.99
5488,4.00,0.00,2.54,12.98
5499,4.00,0.00,2.60,12.97
5508,4.00,0.00,2.69,12.97
5521,4.00,0.00,2.74,12.96
5535,4.00,20.00,2.82,12.94
5547,4.00,20.00,2.90,12.95
5557,4.00,40.00,2.92,12.95
5566,4.00,40.00,2.92,12.94
5575,4.00,20.00,2.94,12.93
5584,4.00,20.00,2.99,12.93
5594,4.00,40.00,3.04,12.93
5605,4.00,20.00,3.09,12.91
5615,4.00,20.00,3.13,12.90
5625,4.00,40.00,3.21,12.90
5635,4.00,60.00,3.28,12.90
5644,4.00,60.00,3.28,12.89
5655,4.00,60.00,3.32,12.88
5665,4.00,60.00,3.39,12.88
5675,4.00,60.00,3.44,12.88
5683,4.00,40.00,3.49,12.88
5693,4.00,20.00,3.56,12.86
5704,4.00,40.00,3.62,12.86
5714,4.00,40.00,3.66,12.86
5725,4.00,20.00,3.70,12.85
5734,4.00,40.00,3.72,12.85
5743,4.00,40.00,3.76,12.85
5753,4.00,20.00,3.84,12.83
5763,4.00,20.00,3.94,12.81
5773,4.00,40.00,4.03,12.82
5783,4.00,40.00,4.03,12.82
5794,4.00,40.00,4.14,12.79
5803,4.00,40.00,4.23,12.78
5814,4.00,40.00,4.27,12.79
5824,4.00,20.00,4.31,12.79
5834,4.00,0.00,4.35,12.79
5844,4.00,0.00,4.42,12.76
5854,4.00,0.00,4.49,12.76
5863,4.00,0.00,4.52,12.76
5873,4.00,0.00,4.62,12.73
5883,4.00,20.00,4.70,12.73
5893,4.00,20.00,4.73,12.73
5902,4.00,20.00,4.83,12.70
5913,4.00,20.00,4.97,12.69
5922,4.00,40.00,5.05,12.70
5933,4.00,40.00,5.05,12.71
5943,4.00,40.00,5.17,12.66
5953,4.00,40.00,5.26,12.66
5963,4.00,40.00,5.26,12.69
5973,4.00,20.00,5.24,12.69
5982,4.00,0.00,5.21,12.70
5992,4.00,20.00,5.23,12.68
6003,4.00,40.00,5.36,12.62
6013,4.00,40.00,5.41,12.67
6022,4.00,60.00,5.44,12.66
6035,4.00,60.00,5.53,12.62
6045,4.00,60.00,5.61,12.58
6057,4.00,40.00,5.89,12.57
6068,4.00,40.00,5.99,12.59
6076,4.00,40.00,5.95,12.61
6086,4.00,60.00,6.02,12.58
6096,4.00,40.00,6.13,12.56
6106,4.00,60.00,6.18,12.57
6116,4.00,60.00,6.16,12.58
6126,4.00,60.00,6.21,12.56
6137,4.00,40.00,6.30,12.55
6148,4.00,40.00,6.40,12.52
6159,4.00,20.00,6.49,12.52
6170,4.00,40.00,6.60,12.50
6182,4.00,60.00,6.67,12.52
6194,4.00,60.00,6.72,12.50
6206,4.00,60.00,6.86,12.49
6215,4.00,40.00,6.86,12.50
6225,4.00,20.00,6.86,12.50
6234,4.00,0.00,6.85,12.48
6244,4.00,0.00,6.88,12.44
6254,4.00,20.00,7.03,12.43
6264,4.00,40.00,7.19,12.45
6274,4.00,60.00,7.24,12.44
6284,4.00,60.00,7.26,12.44
6294,4.00,60.00,7.32,12.42
6304,4.00,40.00,7.42,12.41
6313,4.00,20.00,7.49,12.43
6323,4.00,20.00,7.58,12.36
6333,4.00,40.00,7.69,12.38
6343,4.00,60.00,7.61,12.44
6353,4.00,80.00,7.68,12.38
6363,4.00,100.00,7.72,12.39
6372,4.00,100.00,7.61,12.42
6383,4.00,80.00,7.70,12.38
6393,4.00,100.00,7.85,12.36
6403,4.00,100.00,7.82,12.39
6413,4.00,100.00,7.93,12.35
6422,4.00,120.00,7.79,12.42
6432,4.00,140.00,7.77,12.41
6443,4.00,140.00,7.72,12.38
6452,4.00,160.00,7.68,12.42
6462,4.00,180.00,7.67,12.45
6472,4.00,160.00,7.57,12.39
6482,4.00,180.00,7.57,12.43
6492,4.00,160.00,7.51,12.40
6505,4.00,160.00,7.35,12.46
6519,4.00,160.00,7.37,12.42
6531,4.00,180.00,7.32,12.42
6542,4.00,220.00,7.24,12.46
6552,4.00,220.00,7.16,12.49
6563,4.00,220.00,7.14,12.46
6573,4.00,220.00,7.03,12.45
6583,4.00,180.00,7.05,12.47
6592,4.00,180.00,7.02,12.45
6602,4.00,180.00,6.98,12.44
6613,4.00,200.00,6.85,12.51
6624,4.00,200.00,6.81,12.51
6635,4.00,220.00,6.81,12.46
6644,4.00,220.00,6.81,12.51
6654,4.00,220.00,6.74,12.51
6663,4.00,200.00,6.67,12.53
6674,4.00,200.00,6.63,12.51
6684,4.00,200.00,6.54,12.52
6695,4.00,200.00,6.50,12.51
6704,4.00,200.00,6.54,12.51
6713,4.00,200.00,6.49,12.51
6722,4.00,200.00,6.46,12.52
6734,4.00,200.00,6.46,12.52
6743,4.00,200.00,6.51,12.52
6752,4.00,200.00,6.46,12.52
6762,4.00,200.00,6.47,12.52
6771,4.00,200.00,6.48,12.52
6781,4.00,180.00,6.38,12.54
6791,4.00,180.00,6.34,12.54
6801,4.00,180.00,6.35,12.53
6812,4.00,160.00,6.27,12.55
6824,4.00,160.00,6.24,12.54
6832,4.00,180.00,6.23,12.56
6841,4.00,180.00,6.26,12.52
6851,4.00,160.00,6.26,12.54
6861,4.00,180.00,6.27,12.54
6870,4.00,160.00,6.26,12.54
6881,4.00,160.00,6.30,12.52
6890,4.00,140.00,6.28,12.53
6900,4.00,160.00,6.34,12.52
6909,4.00,140.00,6.35,12.54
6919,4.00,160.00,6.30,12.56
6929,4.00,140.00,6.32,12.52
6939,4.00,140.00,6.37,12.54
6949,4.00,160.00,6.32,12.53
6959,4.00,140.00,6.24,12.56
6969,4.00,160.00,6.31,12.50
6979,4.00,140.00,6.35,12.51
6989,4.00,160.00,6.37,12.51
6999,4.00,140.00,6.35,12.53
7010,4.00,140.00,6.40,12.51
7020,4.00,160.00,6.34,12.53
7033,4.00,140.00,6.37,12.52
7044,4.00,160.00,6.35,12.53
7055,4.00,160.00,6.36,12.52
7066,4.00,140.00,6.38,12.52
7075,4.00,140.00,6.38,12.53
7086,4.00,140.00,6.33,12.53
7097,4.00,140.00,6.32,12.54
7107,4.00,160.00,6.23,12.56
7118,4.00,160.00,6.21,12.54
7129,4.00,160.00,6.22,12.55
7140,4.00,160.00,6.16,12.54
7150,4.00,120.00,6.12,12.55
7160,4.00,100.00,6.16,12.55
7170,4.00,100.00,6.23,12.52
7179,4.00,120.00,6.18,12.56
7189,4.00,120.00,6.19,12.53
7200,4.00,140.00,6.28,12.50
7210,4.00,180.00,6.32,12.52
7220,4.00,160.00,6.32,12.52
7230,4.00,140.00,6.28,12.54
7240,4.00,120.00,6.39,12.50
7249,4.00,100.00,6.41,12.52
7259,4.00,120.00,6.31,12.53
7269,4.00,120.00,6.32,12.53
7280,4.00,120.00,6.32,12.52
7290,4.00,140.00,6.37,12.52
7299,4.00,140.00,6.41,12.49
7309,4.00,140.00,6.52,12.50
7319,4.00,120.00,6.47,12.52
7329,4.00,120.00,6.49,12.49
7338,4.00,120.00,6.54,12.49
7348,4.00,100.00,6.50,12.52
7358,4.00,100.00,6.59,12.45
7367,4.00,100.00,6.65,12.49
7377,4.00,100.00,6.62,12.49
7388,4.00,100.00,6.76,12.44
7396,4.00,100.00,6.80,12.47
7408,4.00,120.00,6.82,12.44
7417,4.00,120.00,6.86,12.46
7426,4.00,120.00,6.82,12.44
7436,4.00,120.00,6.89,12.45
7447,4.00,140.00,6.81,12.48
7456,4.00,120.00,6.89,12.43
7466,4.00,120.00,6.86,12.47
7476,4.00,120.00,6.86,12.44
7486,4.00,120.00,6.89,12.46
7496,4.00,100.00,6.73,12.50
7506,4.00,120.00,6.76,12.47
7519,4.00,120.00,6.68,12.49
7529,4.00,120.00,6.71,12.48
7539,4.00,140.00,6.71,12.45
7552,4.00,160.00,6.72,12.49
7563,4.00,140.00,6.71,12.45
7574,4.00,160.00,6.71,12.49
7583,4.00,140.00,6.67,12.46
7595,4.00,140.00,6.63,12.51
7603,4.00,140.00,6.65,12.45
7613,4.00,160.00,6.62,12.50
7623,4.00,140.00,6.66,12.48
7632,4.00,160.00,6.59,12.47
7642,4.00,160.00,6.62,12.49
7654,4.00,180.00,6.63,12.49
7663,4.00,180.00,6.59,12.49
