Time (ms), mass (kg), Velocity (rad/s), Motor_current (A), Voltage (V)
Start Going Up
6013,1.00,0.00,0.20,13.88
6032,1.00,0.00,0.21,13.87
6041,1.00,0.00,0.23,13.88
6053,1.00,0.00,0.24,13.88
6064,1.00,0.00,0.24,13.88
6074,1.00,0.00,0.24,13.88
6084,1.00,0.00,0.24,13.88
6095,1.00,0.00,0.24,13.88
6105,1.00,0.00,0.25,13.87
6114,1.00,0.00,0.26,13.87
6126,1.00,0.00,0.27,13.87
6136,1.00,0.00,0.28,13.87
6148,1.00,0.00,0.29,13.87
6160,1.00,0.00,0.30,13.87
6174,1.00,0.00,0.30,13.87
6183,1.00,0.00,0.32,13.87
6193,1.00,0.00,0.33,13.87
6202,1.00,0.00,0.34,13.87
6212,1.00,0.00,0.35,13.87
6222,1.00,0.00,0.35,13.87
6232,1.00,20.00,0.35,13.87
6241,1.00,20.00,0.36,13.87
6251,1.00,20.00,0.37,13.86
6261,1.00,40.00,0.38,13.86
6271,1.00,40.00,0.39,13.86
6281,1.00,20.00,0.41,13.86
6291,1.00,20.00,0.41,13.86
6301,1.00,40.00,0.43,13.85
6312,1.00,20.00,0.45,13.85
6323,1.00,20.00,0.45,13.86
6332,1.00,20.00,0.44,13.86
6343,1.00,20.00,0.45,13.85
6352,1.00,20.00,0.47,13.85
6363,1.00,40.00,0.48,13.85
6372,1.00,40.00,0.50,13.84
6383,1.00,40.00,0.55,13.84
6392,1.00,60.00,0.56,13.84
6403,1.00,60.00,0.55,13.84
6413,1.00,60.00,0.57,13.84
6422,1.00,80.00,0.58,13.84
6433,1.00,100.00,0.58,13.84
6442,1.00,100.00,0.59,13.84
6452,1.00,80.00,0.61,13.83
6462,1.00,80.00,0.62,13.84
6472,1.00,80.00,0.62,13.84
6482,1.00,60.00,0.62,13.83
6493,1.00,60.00,0.64,13.83
6504,1.00,60.00,0.68,13.82
6514,1.00,40.00,0.72,13.82
6524,1.00,20.00,0.73,13.82
6538,1.00,20.00,0.75,13.82
6548,1.00,20.00,0.77,13.82
6557,1.00,20.00,0.77,13.82
6568,1.00,20.00,0.79,13.81
6578,1.00,40.00,0.81,13.81
6589,1.00,40.00,0.82,13.81
6598,1.00,40.00,0.83,13.81
6608,1.00,40.00,0.86,13.80
6617,1.00,60.00,0.91,13.80
6628,1.00,60.00,0.90,13.80
6638,1.00,80.00,0.91,13.80
6647,1.00,80.00,0.93,13.80
6657,1.00,80.00,0.95,13.79
6667,1.00,80.00,0.96,13.80
6677,1.00,60.00,0.95,13.80
6687,1.00,60.00,0.97,13.80
6696,1.00,60.00,0.99,13.79
6705,1.00,80.00,1.02,13.79
6715,1.00,80.00,1.03,13.78
6726,1.00,80.00,1.06,13.78
6735,1.00,80.00,1.07,13.78
6745,1.00,80.00,1.11,13.77
6755,1.00,60.00,1.12,13.78
6765,1.00,60.00,1.19,13.76
6775,1.00,60.00,1.20,13.77
6785,1.00,80.00,1.22,13.77
6794,1.00,80.00,1.23,13.76
6804,1.00,60.00,1.25,13.76
6815,1.00,60.00,1.26,13.77
6826,1.00,60.00,1.27,13.76
6838,1.00,40.00,1.29,13.76
6846,1.00,60.00,1.31,13.75
6856,1.00,80.00,1.38,13.74
6866,1.00,60.00,1.35,13.76
6875,1.00,60.00,1.38,13.74
6885,1.00,60.00,1.40,13.74
6895,1.00,80.00,1.41,13.75
6905,1.00,60.00,1.41,13.75
6916,1.00,80.00,1.42,13.74
6926,1.00,80.00,1.42,13.75
6936,1.00,80.00,1.40,13.75
6945,1.00,100.00,1.40,13.75
6955,1.00,100.00,1.41,13.74
6965,1.00,100.00,1.42,13.74
6976,1.00,100.00,1.42,13.74
6987,1.00,100.00,1.43,13.74
6997,1.00,100.00,1.42,13.74
7008,1.00,100.00,1.47,13.73
7017,1.00,100.00,1.50,13.73
7027,1.00,100.00,1.53,13.73
7040,1.00,120.00,1.54,13.73
7051,1.00,120.00,1.53,13.73
7061,1.00,140.00,1.53,13.73
7070,1.00,140.00,1.52,13.73
7082,1.00,160.00,1.47,13.75
7092,1.00,140.00,1.43,13.74
7102,1.00,160.00,1.43,13.75
7112,1.00,140.00,1.38,13.75
7122,1.00,160.00,1.36,13.76
7132,1.00,140.00,1.34,13.75
7142,1.00,160.00,1.34,13.76
7152,1.00,160.00,1.33,13.75
7162,1.00,160.00,1.35,13.75
7173,1.00,140.00,1.37,13.74
7182,1.00,140.00,1.38,13.74
7193,1.00,140.00,1.38,13.75
7202,1.00,120.00,1.39,13.74
7212,1.00,120.00,1.39,13.73
7222,1.00,140.00,1.45,13.73
7233,1.00,140.00,1.42,13.75
7243,1.00,140.00,1.41,13.74
7253,1.00,140.00,1.38,13.75
7263,1.00,140.00,1.39,13.74
7273,1.00,140.00,1.37,13.75
7282,1.00,160.00,1.36,13.75
7292,1.00,140.00,1.34,13.75
7302,1.00,140.00,1.36,13.75
