Time (ms), mass (kg), Velocity (rad/s), Motor_current (A), Voltage (V)
Start Going Up
7527,0.50,0.00,0.20,14.01
7546,0.50,0.00,0.22,14.01
7555,0.50,0.00,0.22,14.01
7568,0.50,0.00,0.23,14.01
7577,0.50,0.00,0.24,14.01
7587,0.50,0.00,0.24,14.01
7596,0.50,0.00,0.24,14.01
7606,0.50,0.00,0.24,14.01
7617,0.50,0.00,0.25,14.01
7627,0.50,0.00,0.26,14.01
7637,0.50,0.00,0.27,14.01
7647,0.50,0.00,0.28,14.00
7656,0.50,0.00,0.28,14.00
7667,0.50,0.00,0.30,14.00
7677,0.50,0.00,0.30,14.00
7686,0.50,0.00,0.30,14.00
7698,0.50,20.00,0.31,14.00
7708,0.50,20.00,0.33,14.00
7719,0.50,20.00,0.33,14.00
7728,0.50,20.00,0.33,14.00
7738,0.50,20.00,0.34,14.00
7748,0.50,0.00,0.34,14.00
7758,0.50,0.00,0.36,13.99
7768,0.50,0.00,0.37,13.99
7777,0.50,0.00,0.38,13.99
7789,0.50,0.00,0.40,13.98
7799,0.50,20.00,0.42,13.98
7813,0.50,20.00,0.47,13.98
7826,0.50,20.00,0.49,13.98
7835,0.50,20.00,0.50,13.98
7845,0.50,20.00,0.50,13.98
7855,0.50,0.00,0.52,13.97
7865,0.50,0.00,0.54,13.98
7874,0.50,0.00,0.56,13.97
7885,0.50,20.00,0.59,13.97
7894,0.50,20.00,0.59,13.97
7904,0.50,40.00,0.60,13.96
7914,0.50,60.00,0.62,13.97
7924,0.50,80.00,0.62,13.97
7933,0.50,80.00,0.61,13.97
7944,0.50,100.00,0.62,13.97
7954,0.50,100.00,0.62,13.97
7966,0.50,80.00,0.62,13.97
7974,0.50,80.00,0.63,13.96
7984,0.50,80.00,0.65,13.96
7993,0.50,80.00,0.66,13.96
8003,0.50,80.00,0.68,13.95
8015,0.50,100.00,0.71,13.95
8024,0.50,80.00,0.72,13.95
8033,0.50,80.00,0.74,13.95
8048,0.50,80.00,0.74,13.95
8058,0.50,60.00,0.74,13.95
8067,0.50,60.00,0.74,13.95
8079,0.50,80.00,0.73,13.95
8088,0.50,60.00,0.73,13.95
8099,0.50,80.00,0.74,13.95
8108,0.50,60.00,0.75,13.95
8120,0.50,60.00,0.77,13.94
8128,0.50,40.00,0.79,13.94
8138,0.50,40.00,0.81,13.94
8148,0.50,60.00,0.87,13.92
8158,0.50,60.00,0.91,13.93
8168,0.50,80.00,0.91,13.93
8177,0.50,80.00,0.94,13.93
8187,0.50,100.00,0.93,13.94
8197,0.50,100.00,0.93,13.93
8207,0.50,100.00,0.93,13.94
8217,0.50,120.00,0.91,13.94
8226,0.50,120.00,0.91,13.94
8235,0.50,120.00,0.91,13.93
8245,0.50,140.00,0.93,13.93
8255,0.50,140.00,0.92,13.93
8265,0.50,140.00,0.92,13.93
8274,0.50,140.00,0.92,13.93
8285,0.50,160.00,0.92,13.94
8295,0.50,140.00,0.90,13.94
8305,0.50,160.00,0.90,13.94
8315,0.50,160.00,0.91,13.94
8325,0.50,160.00,0.90,13.94
8338,0.50,140.00,0.85,13.94
8348,0.50,160.00,0.85,13.94
8359,0.50,140.00,0.86,13.93
8368,0.50,140.00,0.85,13.93
8378,0.50,140.00,0.86,13.93
8387,0.50,160.00,0.88,13.93
8397,0.50,140.00,0.87,13.94
8408,0.50,160.00,0.88,13.93
8417,0.50,140.00,0.86,13.94
8428,0.50,140.00,0.86,13.93
8437,0.50,120.00,0.90,13.93
8446,0.50,140.00,0.90,13.94
8457,0.50,120.00,0.90,13.94
8465,0.50,120.00,0.91,13.93
8476,0.50,140.00,0.93,13.93
8485,0.50,160.00,0.92,13.93
8495,0.50,140.00,0.89,13.94
8505,0.50,160.00,0.90,13.93
8516,0.50,160.00,0.87,13.94
8528,0.50,160.00,0.85,13.94
8537,0.50,140.00,0.84,13.94
8547,0.50,140.00,0.82,13.94
8559,0.50,120.00,0.83,13.93
