Time (ms), mass (kg), Velocity (rad/s), Motor_current (A), Voltage (V)
Start Going Up
12542,3.50,0.00,0.20,13.32
12562,3.50,0.00,0.23,13.32
12574,3.50,0.00,0.24,13.32
12585,3.50,0.00,0.24,13.32
12597,3.50,0.00,0.24,13.32
12606,3.50,0.00,0.25,13.32
12615,3.50,0.00,0.25,13.32
12625,3.50,0.00,0.26,13.31
12634,3.50,0.00,0.26,13.31
12644,3.50,0.00,0.27,13.31
12653,3.50,0.00,0.28,13.32
12664,3.50,0.00,0.29,13.31
12673,3.50,0.00,0.29,13.31
12683,3.50,0.00,0.31,13.31
12693,3.50,0.00,0.31,13.31
12703,3.50,0.00,0.31,13.31
12713,3.50,0.00,0.33,13.30
12723,3.50,20.00,0.33,13.30
12733,3.50,20.00,0.33,13.31
12743,3.50,20.00,0.33,13.30
12753,3.50,20.00,0.34,13.30
12763,3.50,20.00,0.35,13.31
12772,3.50,0.00,0.37,13.30
12783,3.50,0.00,0.38,13.30
12794,3.50,0.00,0.41,13.29
12804,3.50,20.00,0.42,13.29
12813,3.50,20.00,0.42,13.29
12823,3.50,20.00,0.43,13.29
12833,3.50,20.00,0.43,13.29
12844,3.50,40.00,0.43,13.29
12855,3.50,20.00,0.43,13.29
12865,3.50,40.00,0.46,13.29
12875,3.50,40.00,0.48,13.28
12885,3.50,40.00,0.51,13.28
12894,3.50,20.00,0.52,13.28
12904,3.50,20.00,0.55,13.28
12913,3.50,20.00,0.58,13.27
12923,3.50,40.00,0.60,13.28
12932,3.50,40.00,0.61,13.28
12943,3.50,60.00,0.61,13.28
12952,3.50,60.00,0.62,13.27
12963,3.50,40.00,0.63,13.27
12972,3.50,20.00,0.68,13.26
12982,3.50,20.00,0.69,13.26
12992,3.50,0.00,0.71,13.27
13002,3.50,0.00,0.72,13.26
13012,3.50,0.00,0.72,13.26
13022,3.50,0.00,0.77,13.25
13033,3.50,20.00,0.79,13.25
13043,3.50,20.00,0.81,13.25
13056,3.50,20.00,0.85,13.24
13073,3.50,20.00,0.92,13.24
13083,3.50,20.00,0.94,13.24
13093,3.50,40.00,0.97,13.24
13105,3.50,40.00,0.98,13.24
13119,3.50,40.00,0.98,13.23
13129,3.50,20.00,1.01,13.22
13141,3.50,20.00,1.06,13.22
13150,3.50,40.00,1.08,13.22
13160,3.50,40.00,1.09,13.22
13169,3.50,40.00,1.13,13.21
13178,3.50,40.00,1.18,13.21
13188,3.50,20.00,1.18,13.21
13197,3.50,20.00,1.22,13.21
13207,3.50,0.00,1.25,13.21
13217,3.50,0.00,1.26,13.19
13228,3.50,0.00,1.31,13.19
13240,3.50,0.00,1.34,13.19
13250,3.50,0.00,1.39,13.19
13260,3.50,20.00,1.42,13.18
13272,3.50,20.00,1.42,13.19
13280,3.50,20.00,1.43,13.18
13291,3.50,20.00,1.48,13.18
13301,3.50,20.00,1.51,13.18
13312,3.50,0.00,1.54,13.17
13323,3.50,20.00,1.62,13.15
13333,3.50,20.00,1.67,13.15
13343,3.50,40.00,1.71,13.15
13354,3.50,40.00,1.73,13.15
13364,3.50,40.00,1.77,13.14
13377,3.50,20.00,1.80,13.13
13389,3.50,20.00,1.90,13.13
13397,3.50,20.00,1.90,13.13
13409,3.50,20.00,1.99,13.11
13419,3.50,40.00,2.06,13.11
13428,3.50,60.00,2.08,13.11
13438,3.50,60.00,2.08,13.10
13449,3.50,60.00,2.18,13.10
13458,3.50,60.00,2.18,13.10
13468,3.50,40.00,2.22,13.10
13478,3.50,40.00,2.25,13.10
13489,3.50,20.00,2.29,13.08
13499,3.50,0.00,2.34,13.08
13510,3.50,0.00,2.34,13.08
13524,3.50,0.00,2.41,13.08
13535,3.50,20.00,2.43,13.08
13552,3.50,20.00,2.51,13.06
13569,3.50,20.00,2.63,13.05
13589,3.50,20.00,2.66,13.05
13600,3.50,20.00,2.72,13.03
13612,3.50,40.00,2.79,13.02
13622,3.50,20.00,2.85,13.03
13635,3.50,60.00,2.86,13.03
13647,3.50,60.00,2.88,13.02
13656,3.50,80.00,2.95,13.01
13668,3.50,60.00,3.00,13.02
13679,3.50,40.00,3.00,13.01
13691,3.50,40.00,3.00,13.02
13701,3.50,20.00,3.00,13.01
13709,3.50,20.00,3.07,13.00
